Name,Title,Desc
Auro2303,Have Always been loving souled store!.. And still,Having a physical souled store near my place was a big relief. To be honest I've bought from souled store online but always had a thought if I could go the store to check out the designs.
mrharsh770,The best merchandise site!!!,"The Souled Store is known for its unique designs. Each product stands out with originality, making it a perfect choice for those who want to express their individuality."
goyalritika2123,A great website,A clean and intuitive interface makes shopping on The Souled Store's website a pleasure. It's easy to navigate and find exactly what you're looking for.
dwivedimansi2003,Awesome,"The themed collections at The Souled Store are incredibly well-curated. They perfectly capture the spirit of popular movies, TV shows, and more."
onepieceabhiroop,Souled Store - Is it soulful??,"The themed collections at The Souled Store are incredibly well-curated. They perfectly capture the spirit of popular movies, TV shows, and more."
khushikalyan04,My favourite merchandising Store ??,"For the quality and uniqueness of the products, the prices at The Souled Store are unbeatable. It's my go-to place for great deals on fan merchandise."
connorisra9,Creative and unique designs,"The Souled Store excels in offering the best designs. Their creativity and attention to detail make every piece stand out, perfect for fans who want to express their passions."
shubhamwheofficial,Items missing in my order placed online. TWO TIMES,Pathetic customer experience by Souled Store.
Shalini12850,Love the collection!,"I have bought multiple times from this store for myself and for my friends, I have always been amazed with the product quality and their trendy collection."
priyamehra1331,Best Shopping App,I purchased T-shirts and cargos from this website. the fabric quality was amazing. Just loved their collection.
ashishjadhav67,Pathetic delivery service and communication,I ordered 3 t shirts on 20th June 2022 and on 22nd June my order delivery status shown as out for delivery which we expect to get delivery by that day itself. But this is the first time I experienced this problem souled store that they show the status of out for delivery but later on its not the case and it happened 2 consecutive days. I tried to communicate with their delivery partner as well but no response. Very horrible experience I got and never expected this from Souled store where before this I purchased several t shirts.
amit81288,Very pathetic,Can't explain in words. They should change there name to idiotic store.
Akash8186,Worst,"Their wwe merchandise department is far from authentic, look at the letters, it's very small and definitely not as same as what they sell in wweshop. Please refrain from buying anything from them"
clint_azavedo,Sad Souls,I ordered for 2 t-shirts worth Rs750 and with much delay not finding the address the delivery guy wasted my day. Now when I see only 1 shirt I received and it was in really bad condition.
chrismathalikunnel,Tricked,I have never been more inconvenienced by online shopping. These people tricked me with their 30% discount by showing me the amount with discount till I made the payment and then realising that they overcharged me! The amount that got deducted from my card did not include the discount. I feel cheated and scammed. I tried to contact them to fix this issue for days and still there has been no improvement. They should have refunded the extra money but instead they offered to give me some lousy reward points. Why should I accept the reward points if don't want to do any future transactions with them? And also I have not yet received those reward points in my account.
yadavmarketing,Tshirt,Pathetic stuff ...high price I ordered online ..no return pickup facilities. I am very fed up with your services and quality.
