name,title,desc
sandipan2018monda,Quite good,Reliable and secure
sandiptandel9532,Refund Not Received for Returned Product,"I am writing to express my extreme frustration and disappointment regarding the unresolved refund issue for my order. Despite returning the product on May 12, 2024, and multiple follow-ups through the Bewakoof app and emails, I have yet to receive my refund."
yash93411,Bewakoof stands out fashionable clothes,"Bewakoof stands out as one of the leading internet retailers for fashionable clothes foods and accessories in India . Being a regular customer myself and enthusiastic about Internet shopping, I would like to explain my perception of this particular e-commerce site."
raghavprakhar8,Order Delay,"I placed an order for a bag through the Bewakoof app on May 5th, 2024. Despite receiving confirmation of my order, I am still waiting for it to be delivered. Initially, the delivery date was set for May 8th, 2024, but I received a notification of a delay due to operational issues. I kindly request that my order be delivered as soon as possible.  and the worst  thing bewakoof  app dont have any customer care support   number ."
rahultagra32,Worst shopping app,Never do shopping on bewakoof placed an order on 21 but not shipped yet and no response from those always told wait for 48 hours they are doing fraud or nothing and very bad customer service also don't buy from bewakoof lets protest against them and raise a complaint against them in consumer court then they understand.
pralayrudradutta,Worst experience!!,"I placed an order with Bewakoof on April 17th, and it's now April 25th, and my order hasn't even shipped yet! What a disappointment! I have made the full payment. I've reached out to customer support multiple times, but all I get is the runaround. They promise to call back within 15 minutes, but guess what? No callback! It's been 8 days of frustration, and I still don't have my order. Bewakoof, you've truly lived up to your name with this one – what a bunch of Bewakoofs!"
tpgodaba,Cheaters,I had ordered two dress. One they sent sliders. And other it was larger size for which I placed return and refund. Their agent came and picked the item.but  updated as return pick up failed. After I contacted bewakoof over mail.since they dont have conact no. They sent automated mail as if they are really investigating the issue. This continued several time but no reponse. Its more than a month now. Their pick up agent will.call and ask for pick up and I inform them they have already picked up and have not updated the system . He will ask me to contact bewakoof. And same repeates again and again. They have not refunded yet and have taken the item also
amydecker06,Very Very bad customer service,They took my tshirt pickup and did not initiate the refund and are delaying by sending useless emails.
selenophilekari24,Making fool customers,Their intention is not Good. They fool customers. I don't think it's a good thing to buy from bewakoof.
thesinghneha1991,Worst experience with bewkoof,The name justify everything. They are making fool of us. I bought a t shift online when it got delivered I saw there is a hole in the T-shirt. Same day I requested for return pickup but it’s been almost 1 week it is not picked up and moreover I have been raising ticket everyday but getting no response. They mention like they will give us a call in next 15 min but I never received any call. Such a pathetic service
nilimd,Bought without checking reviews,"My mistake!  First buy was an oversize t-shirt. Liked it. Bought two more t-shirts which were very ordinary material and a jogger..the jogger was wrong size. Tried for a week writing to their care@ bewakoof.com, the only customer care available, despite a promise of one-two day return pick up, I was told to self send after a week."
Parvez_76,Stitching problem,I placed my first order in previous month and delivered with a slight delay of 3 days. The quality of the fabric is good but not the stitching for one of the 2 shorts. Over stitching at many please with threads out.
ronaldoeminem07,"Bewakoof, the name itself reveals it's intentions","I saw an extraordinary Batman themed slipper on the app and instantly ordered it, paying online. However when the order was delivered, instead of the Batman slipper, there was a shitty black and white slipper, which looked like it was 5 years in use. Then I reached out to support email and asked them to make a return order. They asked me for the pictures of the tag, I submitted everything. But now they are telling me that my order can't be replaced and be careful next time !!"
raajeevthaakural,Worst experience,Don't buy it from Bewakoof.com. They have cheated me. They are not refunding my money and giving the reason that some suspicious activity is reported on my account. Money from my wallet has been blocked and now it is showing zero and my account has been blocked and no response from them. Cheating with customers. Bad experience. Never expected this from them.
Dinesh3o,Worst quality,"I ordered 3 shirts white, blue and burgundy. All of these shirts are polyester made and none of them feels like actual cotton."
rshivang12345,Wrost experience,I ordered a Tshirt but it was oversized so I contacted support for replacement. And then they said you should've purchased after knowing your size and with proper measurement with inchtape.
poojam2790,Pathetic Service,Terrible website at all.
sudarsanaroy1,Worthless Bewakoof,"This is the worst shopping app. I had ordered 3tshirts on 9.10.23 which was supposed to be delivered by 14.10.23. But it got delayed. I even considered it as I understand there was Durga Puja rush but today it's 25.10.23 and I still didn't get the t-shirts. I used to get out for delivery updates where the delivery agent's numbers were provided sometimes they picked up and told me that my parcel will be delivered shortly which obviously didn't happen, and most of the time the delivery agents didn't receive my calls. I contacted the customer service on 18.10.23 and I was assured that I would get my parcel within next 48 hrs. But it never came and I also stopped tracking my order. Totally worthless app and very poor unhelpful service. The company is making people ""Bewakoof"". And even if the parcel come after this I am surely not accepting it and would warn people to never use this app."
gazalk300,Terrible customer service,"Terrible, Terrible customer service. They are only doing a good job in advertising. Have poor customer service, don't even have a customer care helpline, you can just email them which they won't respond to."
maheye2439,Bewakoof banate hai customer ko,"I have been emailing and messaging bewakoof for the past 10 days(ticket id 2690347) regarding the refund of my wallet money however there hasn't been a single response to my request for money transfer. Please note you are withholding my money illegally and there is no helpline or way to contact you. This shouldn't have been so unpleasant for a long time customer, it is terribly troubling to say the least. Please contact me if you are not a fraud company, thank you."
mamuzamil2,Worst service don't buy,They won't respond and they give you worst service
anikbansal1,Fraud,They don't respond to exchange requests.
ababab17,Bewakoof banate hai customer ko,"I have been emailing and messaging bewakoof for the past 10 days(ticket id 2690347) regarding the refund of my wallet money however there hasn't been a single response to my request for money transfer. Please note you are withholding my money illegally and there is no helpline or way to contact you. This shouldn't have been so unpleasant for a long time customer, it is terribly troubling to say the least. Please contact me if you are not a fraud company, thank you."
meeravigraham,Returns and Exchange are a big problem,The product quality is good. However their return and exchange process is very bad. They blame the courier always. I had bought so many things from them that needed no exchange. Then i bought a pink joggers. The size mentioned on website was for full joggers. What i got was three-fourth pants that came to just below my knees. So i am trying to return it. I keep getting a recorded call from them that courier told them I have cancelled the return pick-up!!!!  I have most certainly NOT cancelled return pick up and I have not received any call from any courier. So the joggers are still with me and they are useless.
algotrust61,Best online shopping app in India????,I am used to buy t shirts on bewakoof online shopping app. But after new update the app is become pretty slow and time taking. Please found the bug and fix it. Much love ?
Deepika007784,Big time Thuggers,Never buy anything directly from their personal website. They never return your money if you resend the product. They force to buy something else and never ship all items. 1 item is always short and they say we have delivered it.
yesiamorganic,Bewakoof know as a Tshirts Brand. They are pro.,"I am a Tshirts lover. I used to buy many t-shirts on different different shopping apps. In 2020 i found bewakoof app and when I try their t-shirt and that only in 399 rs. I am just fan of bewakoof. They have comfortable material, high quality, looks rich, pocket friendly price and even trendy design, memes t shirts and many more. I used wear this tshirt in collage. And it's look so cool and confident. ??"
bhavsardev19003,Air collection is best collection on Bewakoof,I recently purchased Air collection tshirt on bewakoof.com. the t-shirt quality is amazing and the color and fitting is juts nice. i am happy with my order. ??
bhargavdivecha07,Last month I purchased oversized tshirt on Bewakoo,I am new costumer on Bewakoof.com i jut’s purchase new oversized t shirt on beeakoof. It was so good. Not even colour even good quality and low price. Now i am fan of bewakoof online shopping app. It is best online shopping app in india right mow i guess.
infopatelfood,Most of the time i buy t-shirt for self,I was in collage when I buy first t-shirts from bewakoof.com. after that I am fan of bewakoof I purchased so many products like t-shirts' joggers boxers. All are good quality
manharbhai8025,I  am old coustomer of bewakoof from 2018,"I am old coustomer of bewakoof from 2018. I has so many products of bewakoof like t-shirts , boxers, oversized tshirt amd joggers. All purchases are awesome and high quality amd even cheap price."
manojbajpai22022,After update the app is very smooth and user-frien,I used to shopping on bewakoof around 3 years now. The app is so slow before last update. After update they change so many things in app like app GUI and also app speed is quite improved. Even they add many features like bestsellers section and add to cart button. I really impressed with the efforts of bewakoof team on the app.??
19bba61,Most trendy clothes and even great qualities,I just got this through my newsletter and I'm so happy! The color filter and the size chart is really a game changer. I can finally find the perfect mobile cover for my phone. And what's even better is that it's delivered in no time at all! It arrived before the estimated date which was fantastic for me because I had to move in a hurry...!!!!????
vinitparmar3105,They best Air collection in India right now,The best online shopping app where you can buy best and trendy T-shirts in very cheap rate
sweetudesai167,They have best oversized t-shirts in inda,"I have been using BEWAKOOF for a while now, and I am really satisfied with the service they offer. The app is really easy to use and they have a wide variety of clothing options. I love that they support fast delivery, easy payment and refund & return policies! Their clothes are also of great quality, which you don't find in other online stores"
sonironak68,Best online shopping app in india,Best online shopping app in inda right now. They have trendy air collection. Also oversized t shirts are so cool and cheap rate and even good quality
droy09602,Shopping,Great shopping app for teenagers having very good quality of T-shirts half pants and also other accessories I am a regular buyer buying the product from past 4 years
shilpiag0308,Extremely Worst and Pathetic Services,There is no resolution to the queries. Wrong number is updated on the portal and customer executive takes least interest in solving the issue. Despite several email reminders no respond is received and refund is processed. Pick up of the products gets failed multiple times only because of no queries attended my customer service center. Attaching below photos of return failed of the product due to the negligence of customer executives
aashokbhaii123,I recently ordered some clothes from BEWAKOOF,"I recently ordered some clothes from BEWAKOOF and was really disappointed. The quality of the fabric was not at all what I expected and the sizing chart was completely off. It's really frustrating as it seems they are letting unreliable sellers list their products on the website without any proper checks on quality or accuracy. It's a shame because otherwise, their collection is amazing."
deshsapna2050,Exchange policy,"I am not at all satisfied with your return policy. No one clarifies how to go about. On the app, orders aren't updated. No clarity and easy return policy as others. I am trying since 3 days about exchanging my products due to size issue. But no help. Disappointed!"
abj26cj,Poor service,"This brand doesn't refund ur money on return of your items easily, More than 20 days have been passed since i had returned some of my items but they haven't refunded my money. Moreover they are not even replying my mails."
udaybagdi10,Money=Not worth from bewakoof products,Worst side forever.Don't order anything.
ajayaravind1010,Customer care = policy addressers,"Bought a tshirt on ""flash sale"", little did I know flash sale means items cannot be returned."
reddyrambabu615,Returnes but no redund,Bewakoof is fake company. Quality is worst.
osooldsoul69,They Tack Reviews seriously. Which is important.,"I have been using BEWAKOOF for months and it has been an incredible time-saver. The interface is user-friendly, the creators are responsive to feedback, and I have never had any issues with bugs or crashes. I would love to see some updates, though! The app relies on a lot of surveys which can be frustrating and limit creativity. Overall, it's a solid app and I recommend it!"
ajaysolanki4687,VERY BAD QUALITY,QUALITY IS VERY BAD AND COUPNE APPLY ON WAST DO NOT SHOPPING FOR  WAST YOUR MANY AND NO CUSTOMER HELP LINE NUMBER AVAILABLE
singhnivedita17,No adequate measures taken when order delayed,"Horrible experience i faced from pathetic customer service of bewakoof.com. I ordered for a product on 30.10.22 at 8 am. It showed to deliver by 05.11.22 however till 06.11.22 12.40pm it is still showing ""preparing your order, yet to be shipped"". It was supposed to be a birthday gift. Now when i want to cancel my order they are not even letting me do that."
shadab9887,Worst delivery service,"I ordered my parcel frm bewakoof.com website and they think we are bewakoof its been 3 days my parcel reached to bhiwandi hub and still intransit I email them they escalate my query but still its in intransit , Xpress courier its the worst ever customer care busy all the time won't able to connect its my prepaid shipment not even a half star will give very very poor service if any senior management hv acess to this plssssss improve ur service will not recommend this to any one for shopping"
ayeshavs525,Horrible customer service,I placed a order for back cover i received wrong back cover...they did not arrange reverse pick up neither they processed refund. I followed up with them from 2 months. No update from them. I recommend not to buy products from them they are fraud... I request ppl not to waste your money or else you guys will become bewakoof. It is bakwas fraudsters website with horrible customer service
khadeerwriteme,Do not trust when they say easy returns.,I have been following up bewakoof team from past 20 days regarding a refund i am yet to receive from them. They have no standards and i can understand a small business like this acts like this. Sent them 5 emails they only send you automated response. Cheap website no standards at all
renish137,One of the best online shopping app in India????,Bewakoof has so many trendy and cool design of clothing and also pocket friendly and has very good quality. There customer service are so fast and easy. Must recommended. ????
chandrakalabenpat,"User-friendly app, and easy to find product.","Recently I had some minor glitches but they were fixed within hours, so it's not really worth mentioning.I've been a customer of BEWAKOOF for the past few years. I have faced no issues with them and they are my go-to clothing store. I am very satisfied with the quality of their clothes and find that they are a great value for money. It's been a great experience so far and I will continue"
pm261987,I love BEWAKOOF. It has the most stylish and affor,"I love BEWAKOOF. It has the most stylish and affordable clothes. I'm an international student, so I needed a way to find clothes in my size, and BEWAKOOF made that possible. It's easy to use and I can find anything from T-shirts to Joggers. Thank you, BEWAKOOF! #recommended."
madhukhandai,Failed to order,"Today I had a very bad experience. I had selected two items and tried to order it at least 10 times. But the app asked for OTP while selecting my saved address. I received OTPs but couldn't access the space wherein I had to copy the OTP. I tried many times, then got so frustrated that I uninstalled the app out of frustration. Till today I had a good experience."
shikhasoni8101992,Worst Experience,"ORDER# 50038932. I placed order of customized tshirt. For more than a week order status was design under approval. Later there was delay in the delivery. It took more than 15 days for the order to get delivered. And when the order arrived, I received wrong product. It was a gift for some one, and when people go for customize product there is sentiment attached to it. Because of their mistake I had to face embarrassment. On following up with customer care, they said it will take 48 hours to resolve the issue. It took 4 days to get the update from them. Later I got the update they have placed replacement order, for which I asked them to change the address. But I got the reply they cannot change the address. This is like worst service ever. I requested a lot to change the order but they just did not agree. Later I told them to simply cancel the order and place new order with new address. They denied that as well. Later I got refund of the tshirt, even while refunding they deducted rs.6 because I had receive rs.6 as cashback for that tshirt. I did the payment through card btu I got the refund in bewakoof wallet. Cheap brand, poor service, product quality deteriorating, worth management thats all I can say. I was old customer, I was a tribe member, but now I am uninstalling the app forever and I will never buy anything from bewakoof and will ask my friends and relatives to do the same. Highly disappointed"
