pull-right,profile-img href,b-lazy src,b-lazy src 2,user-ms-name,user-ms-name href,usr-addr-text,total-rev-counts,total-rev-counts href,total-followers-counts,total-followers-counts href,col-10,col-10 href,rating,views,rating 2,rating 3,rating href,label,more,more 2,more 3,flag-review-text href,flag-review-text src,share,share 2,share 3,share 4,share 5,rc src,like-image-new src,rar-rate,tooltip,comment-image-new src,comment-clk,share-text-icon src,share-text-icon,btn,btn 2,btn 3,tooltip-content,b-lazy src 3,tooltip-content 3
Latest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reply as Brand,https://www.mouthshut.com/sandipan2018monda,https://image3.mouthshut.com/images/imagesu/m/sandipan2018monda.jpeg,https://image3.mouthshut.com/images/Offline/Common/Images/Badge/beginner.png,sandipan2018monda,https://www.mouthshut.com/sandipan2018monda,Kolkata India,3 Reviews,https://www.mouthshut.com/sandipan2018monda/reviews,1 Follower,https://www.mouthshut.com/account/trust_by.php?user=sandipan2018monda,Quite good,https://www.mouthshut.com/review/bewakoof-review-tnorltoppnp,"Jun 24, 2024 12:42 PM",159 Views,(via ),Android App,https://www.mouthshut.com/app,Response Received,Reliable and secure,Quality of product pretty good after like 50+ washes little fade of print is visible.,"Size is accurate, quality is great too.",javascript:;,https://www.mouthshut.com/APP_THEMES/images/review/flag.svg,Flag This Review,Irrelevant,Fake,Junk,Thank You! We appreciate your effort.,https://www.mouthshut.com/Images/COMMON/loading_ajax.gif,https://www.mouthshut.com/Images/like-icon.svg,Like,0,https://www.mouthshut.com/Images/comment-icon.svg,Comments 0,https://www.mouthshut.com/Images/share.png,Share,Submit,Update,View more comments,,,
Reply as Brand,https://www.mouthshut.com/sandiptandel9532,https://www.mouthshut.com/Images/COMMON/no_gender_80.jpg,,sandiptandel9532,https://www.mouthshut.com/sandiptandel9532,India,1 Review,https://www.mouthshut.com/sandiptandel9532/reviews,,,Refund Not Received for Returned Product,https://www.mouthshut.com/review/bewakoof-review-lumqqtnsonp,"May 28, 2024 04:23 PM",321 Views,,,,Response Received,"I am writing to express my extreme frustration and disappointment regarding the unresolved refund issue for my order. Despite returning the product on May 12, 2024, and multiple follow-ups through the Bewakoof app and emails, I have yet to receive my refund.",Here is a detailed timeline of the issue:,"May 12, 2024: I returned the product as per your return policy.",javascript:;,https://www.mouthshut.com/APP_THEMES/images/review/flag.svg,Flag This Review,Irrelevant,Fake,Junk,Thank You! We appreciate your effort.,https://www.mouthshut.com/Images/COMMON/loading_ajax.gif,https://www.mouthshut.com/Images/like-icon.svg,Like,0,https://www.mouthshut.com/Images/comment-icon.svg,Comments 0,https://www.mouthshut.com/Images/share.png,Share,Submit,Update,View more comments,,,
Reply as Brand,https://www.mouthshut.com/yash93411,https://image3.mouthshut.com/images/imagesu/m/yash93411.png,https://image3.mouthshut.com/images/Offline/Common/Images/Badge/beginner.png,yash93411,https://www.mouthshut.com/yash93411,jaipur India,6 Reviews,https://www.mouthshut.com/yash93411/reviews,9 Followers,https://www.mouthshut.com/account/trust_by.php?user=yash93411,Bewakoof stands out fashionable clothes,https://www.mouthshut.com/review/bewakoof-review-ootumnrronp,"May 26, 2024 12:10 AM",277 Views,,,,Response Received,"Bewakoof stands out as one of the leading internet retailers for fashionable clothes foods and accessories in India . Being a regular customer myself and enthusiastic about Internet shopping, I would like to explain my perception of this particular e-commerce site.",Product Range:,"Of all, user-interface of Bewakoof was bold and vibrant but what has really caught my attention was that Bewakoof offered a humongous variety of products based on the different sizes, styles, and trends. Including everyday wears such as t-shirts, hoodies, joggers, and trousers, as well as fun accessories such as bags and mobile phone covers, the wearer demographic is clearly youthful.",javascript:;,https://www.mouthshut.com/APP_THEMES/images/review/flag.svg,Flag This Review,Irrelevant,Fake,Junk,Thank You! We appreciate your effort.,https://www.mouthshut.com/Images/COMMON/loading_ajax.gif,https://www.mouthshut.com/Images/like-icon.svg,Like,1,https://www.mouthshut.com/Images/comment-icon.svg,Comments 0,https://www.mouthshut.com/Images/share.png,Share,Submit,Update,View more comments,rajmawithrice,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reply as Brand,https://www.mouthshut.com/raghavprakhar8,https://www.mouthshut.com/Images/COMMON/no_gender_80.jpg,,raghavprakhar8,https://www.mouthshut.com/raghavprakhar8,India,1 Review,https://www.mouthshut.com/raghavprakhar8/reviews,,,Order Delay,https://www.mouthshut.com/review/bewakoof-review-qpumrrpmonp,"May 08, 2024 01:28 AM",448 Views,,,,Response Received,"I placed an order for a bag through the Bewakoof app on May 5th, 2024. Despite receiving confirmation of my order, I am still waiting for it to be delivered. Initially, the delivery date was set for May 8th, 2024, but I received a notification of a delay due to operational issues. I kindly request that my order be delivered as soon as possible.  and the worst  thing bewakoof  app dont have any customer care support   number .",,,javascript:;,https://www.mouthshut.com/APP_THEMES/images/review/flag.svg,Flag This Review,Irrelevant,Fake,Junk,Thank You! We appreciate your effort.,https://www.mouthshut.com/Images/COMMON/loading_ajax.gif,https://www.mouthshut.com/Images/like-icon.svg,Like,0,https://www.mouthshut.com/Images/comment-icon.svg,Comments 0,https://www.mouthshut.com/Images/share.png,Share,Submit,Update,View more comments,,,
Reply as Brand,https://www.mouthshut.com/rahultagra32,https://www.mouthshut.com/Images/COMMON/no_gender_80.jpg,,rahultagra32,https://www.mouthshut.com/rahultagra32,India,1 Review,https://www.mouthshut.com/rahultagra32/reviews,,,Worst shopping app,https://www.mouthshut.com/review/bewakoof-review-rrpmsoltnnp,"Apr 26, 2024 07:01 AM",550 Views,,,,Response Received,Never do shopping on bewakoof placed an order on 21 but not shipped yet and no response from those always told wait for 48 hours they are doing fraud or nothing and very bad customer service also don't buy from bewakoof lets protest against them and raise a complaint against them in consumer court then they understand.,,,javascript:;,https://www.mouthshut.com/APP_THEMES/images/review/flag.svg,Flag This Review,Irrelevant,Fake,Junk,Thank You! We appreciate your effort.,https://www.mouthshut.com/Images/COMMON/loading_ajax.gif,https://www.mouthshut.com/Images/like-icon.svg,Like,0,https://www.mouthshut.com/Images/comment-icon.svg,Comments 0,https://www.mouthshut.com/Images/share.png,Share,Submit,Update,View more comments,,,
Reply as Brand,https://www.mouthshut.com/pralayrudradutta,https://www.mouthshut.com/Images/COMMON/no_gender_80.jpg,,pralayrudradutta,https://www.mouthshut.com/pralayrudradutta,India,1 Review,https://www.mouthshut.com/pralayrudradutta/reviews,,,Worst experience!!,https://www.mouthshut.com/review/bewakoof-review-rqsstttsnnp,"Apr 25, 2024 03:59 PM",576 Views,(via ),Mobile,https://www.mouthshut.com/review/apis.aspx,Response Received,"I placed an order with Bewakoof on April 17th, and it's now April 25th, and my order hasn't even shipped yet! What a disappointment! I have made the full payment. I've reached out to customer support multiple times, but all I get is the runaround. They promise to call back within 15 minutes, but guess what? No callback! It's been 8 days of frustration, and I still don't have my order. Bewakoof, you've truly lived up to your name with this one – what a bunch of Bewakoofs!",,,javascript:;,https://www.mouthshut.com/APP_THEMES/images/review/flag.svg,Flag This Review,Irrelevant,Fake,Junk,Thank You! We appreciate your effort.,https://www.mouthshut.com/Images/COMMON/loading_ajax.gif,https://www.mouthshut.com/Images/like-icon.svg,Like,0,https://www.mouthshut.com/Images/comment-icon.svg,Comments 1,https://www.mouthshut.com/Images/share.png,Share,Submit,Update,View more comments,,,
Reply as Brand,https://www.mouthshut.com/tpgodaba,https://www.mouthshut.com/Images/COMMON/no_gender_80.jpg,,tpgodaba,https://www.mouthshut.com/tpgodaba,India,1 Review,https://www.mouthshut.com/tpgodaba/reviews,,,Cheaters,https://www.mouthshut.com/review/bewakoof-review-nopunmppnnp,"Apr 12, 2024 10:47 AM",616 Views,(via ),Mobile,https://www.mouthshut.com/review/apis.aspx,Response Received,I had ordered two dress. One they sent sliders. And other it was larger size for which I placed return and refund. Their agent came and picked the item.but  updated as return pick up failed. After I contacted bewakoof over mail.since they dont have conact no. They sent automated mail as if they are really investigating the issue. This continued several time but no reponse. Its more than a month now. Their pick up agent will.call and ask for pick up and I inform them they have already picked up and have not updated the system . He will ask me to contact bewakoof. And same repeates again and again. They have not refunded yet and have taken the item also,"My final view on this company is, its not their name they are here to make people bewakoof. Most worst ever company. Never buy from this company.",,javascript:;,https://www.mouthshut.com/APP_THEMES/images/review/flag.svg,Flag This Review,Irrelevant,Fake,Junk,Thank You! We appreciate your effort.,https://www.mouthshut.com/Images/COMMON/loading_ajax.gif,https://www.mouthshut.com/Images/like-icon.svg,Like,0,https://www.mouthshut.com/Images/comment-icon.svg,Comments 0,https://www.mouthshut.com/Images/share.png,Share,Submit,Update,View more comments,,,
Reply as Brand,https://www.mouthshut.com/amydecker06,https://www.mouthshut.com/Images/COMMON/no_gender_80.jpg,,amydecker06,https://www.mouthshut.com/amydecker06,India,1 Review,https://www.mouthshut.com/amydecker06/reviews,,,Very Very bad customer service,https://www.mouthshut.com/review/bewakoof-review-ntosllpnnnp,"Apr 04, 2024 10:26 AM",667 Views,,,,Response Received,They took my tshirt pickup and did not initiate the refund and are delaying by sending useless emails.,,,javascript:;,https://www.mouthshut.com/APP_THEMES/images/review/flag.svg,Flag This Review,Irrelevant,Fake,Junk,Thank You! We appreciate your effort.,https://www.mouthshut.com/Images/COMMON/loading_ajax.gif,https://www.mouthshut.com/Images/like-icon.svg,Like,0,https://www.mouthshut.com/Images/comment-icon.svg,Comments 0,https://www.mouthshut.com/Images/share.png,Share,Submit,Update,View more comments,,,
